city,lat,lon,precip,class,population,damage
Aizawl,23.736701,92.714596,0.22999999999999998,0,265331,6.1
Bijapur,16.827715,75.718988,0.42000000000000004,0,271064,11.38
Imphal,24.808053,93.944203,0.94,0,223523,21.01
Tharati Etawah,26.758236,79.014875,0.0,0,0,0.0
Raichur,16.205459,77.35567,0.12,0,225962,2.71
Pathankot,32.274842,75.652865,0.0,0,174306,0.0
Chirala,15.823849,80.352187,1.22,0,87001,10.61
Sonipat,28.994778,77.019375,0.0,0,250521,0.0
Mirzapur,25.144902,82.565335,0.0,0,220029,0.0
Hapur,28.729845,77.780681,0.0,0,242920,0.0
Porbandar,21.641346,69.600868,0.09999999999999999,0,138872,1.39
Bharatpur,27.215251,77.492786,0.0,0,229384,0.0
Puducherry,11.933812,79.829792,1.3399999999999999,0,657209,88.07
Karnal,29.691971,76.984483,0.0,0,225049,0.0
Nagercoil,8.177313,77.43437,1.27,0,224849,28.56
Thanjavur,10.785233,79.139093,2.3699999999999997,0,291067,68.98
Pali,25.775125,73.320611,0.2,0,210103,4.2
Agartala,23.836049,91.279386,0.02,0,203264,0.41
Ongole,15.503565,80.044541,0.68,0,172872,11.76
Puri,19.798254,85.824938,0.0,0,170841,0.0
Dindigul,10.362853,77.975827,3.35,0,292512,97.99
Haldia,22.025278,88.058333,0.0,0,170695,0.0
Bulandshahr,28.403922,77.857731,0.0,0,198612,0.0
Purnea,25.776703,87.473655,0.0,0,0,0.0
Proddatur,14.7502,78.548129,0.08,0,177797,1.42
Gurgaon,28.460105,77.026352,0.0,0,197340,0.0
Khanapur,21.273716,76.117376,1.98,0,17216,3.41
Machilipatnam,16.187466,81.13888,0.02,0,192827,0.39
Bhiwani,28.793044,76.13968,0.0,0,190855,0.0
Nandyal,15.477994,78.483605,0.1,0,165337,1.65
Bhusaval,21.043649,75.785058,2.48,0,183001,45.38
Bharauri,27.598203,81.694709,0.0,0,0,0.0
Tonk,26.168672,75.786111,0.01,0,151331,0.15
Sirsa,29.534893,75.028981,0.0,0,12608,0.0
Vizianagaram,18.11329,83.397743,0.0,0,179358,0.0
Vellore,12.905769,79.137104,0.83,0,484690,40.23
Alappuzha,9.494647,76.331108,5.37,0,240991,129.41
Shimla,31.104423,77.166623,0.05,0,173503,0.87
Hindupur,13.828065,77.491425,0.11,0,133298,1.47
Baramula,34.209004,74.342853,0.18,0,77276,1.39
Bakshpur,25.894283,80.792104,0.0,0,0,0.0
Dibrugarh,27.479888,94.90837,0.30000000000000004,0,122155,3.66
Saidapur,27.598784,80.75089,0.0,0,0,0.0
Navsari,20.85,72.916667,0.93,0,171109,15.91
Budaun,28.038114,79.126677,0.0,0,161555,0.0
Cuddalore,11.746289,79.764362,1.4200000000000002,0,173636,24.66
Haripur,31.463218,75.986418,0.0,0,7327,0.0
Krishnapuram,12.869617,79.719469,1.1500000000000001,0,0,0.0
Fyzabad,26.775486,82.150182,0.0,0,153047,0.0
Silchar,24.827327,92.797868,0.05,0,152393,0.76
Ambala,30.360993,76.797819,0.0,0,146787,0.0
Krishnanagar,23.405761,88.490733,0.0,0,145926,0.0
Kolar,13.137679,78.129989,0.24000000000000002,0,126441,3.03
Kumbakonam,10.959789,79.377472,2.36,0,167155,39.45
Tiruvannamalai,12.230204,79.072954,0.98,0,138243,13.55
Pilibhit,28.631245,79.804362,0.0,0,131008,0.0
Abohar,30.144533,74.19552,0.0,0,130603,0.0
Port Blair,11.666667,92.75,12.190000000000001,0,112050,136.59
Alipur Duar,26.4835,89.522855,0.0,0,65232,0.0
Hatisa,27.592698,78.013843,0.0,0,0,0.0
Valparai,10.325163,76.955299,3.5999999999999996,0,90353,32.53
Aurangabad,24.752037,84.374202,0.0,0,95929,0.0
Kohima,25.674673,94.110988,0.5599999999999999,0,92113,5.16
Gangtok,27.325739,88.612155,0.02,0,30700,0.06
Karur,10.960277,78.076753,1.2600000000000002,0,234191,29.51
Jorhat,26.757509,94.203055,0.36,0,69033,2.49
Panaji,15.498289,73.824541,0.25,0,65586,1.64
Saidpur,34.318174,74.457093,0.06,0,14496,0.09
Tezpur,26.633333,92.8,0.0,0,58851,0.0
Itanagar,27.102349,93.692047,0.05,0,44971,0.22
Daman,20.414315,72.83236,1.6099999999999999,0,39737,6.4
Silvassa,20.273855,72.996728,2.88,0,27359,7.88
Diu,20.715115,70.987952,0.86,0,23779,2.04
Dispur,26.135638,91.800688,0.0,0,10812,0.0
Kavaratti,10.566667,72.616667,2.28,0,11210,2.56
Calicut,11.248016,75.780402,3.07,0,0,0.0
Kagaznagar,19.331589,79.466051,0.43999999999999995,0,0,0.0
Jaipur,26.913312,75.787872,0.0,0,2711758,0.0
Ghandinagar,23.216667,72.683333,1.34,0,0,0.0
Panchkula,30.691512,76.853736,0.0,0,200000,0.0
